Weights,PortfolioStandardDeviation,PortfolioReturn,PortfolioSharpeRatio,WeightsStringRepresent
"[0.0, 0.0, 0.25, 0.6, 0.15000000000000002]",0.04659012238292029,0.5018454915469582,10.34222420767026,"Weights: 0.0, 0.0, 0.25, 0.6, 0.15000000000000002"
"[0.0, 0.0, 0.25, 0.65, 0.09999999999999998]",0.04704184432946008,0.49962944634762146,10.195804462693063,"Weights: 0.0, 0.0, 0.25, 0.65, 0.09999999999999998"
"[0.0, 0.0, 0.25, 0.7, 0.050000000000000044]",0.047557279056531385,0.4974134011482847,10.038703025477611,"Weights: 0.0, 0.0, 0.25, 0.7, 0.050000000000000044"
"[0.0, 0.0, 0.25, 0.75, 0.0]",0.04813437985147854,0.4951973559489479,9.87230660112787,"Weights: 0.0, 0.0, 0.25, 0.75, 0.0"
"[0.0, 0.0, 0.3, 0.0, 0.7]",0.045914437915415746,0.5535077430909408,11.619607411371922,"Weights: 0.0, 0.0, 0.3, 0.0, 0.7"
"[0.0, 0.0, 0.3, 0.05, 0.6499999999999999]",0.045559876638082274,0.5512916978916038,11.661394566804235,"Weights: 0.0, 0.0, 0.3, 0.05, 0.6499999999999999"
"[0.0, 0.0, 0.3, 0.1, 0.6]",0.04527397893434996,0.5490756526922671,11.686086912295895,"Weights: 0.0, 0.0, 0.3, 0.1, 0.6"
"[0.0, 0.0, 0.3, 0.15, 0.5499999999999999]",0.045058051854253885,0.5468596074929303,11.692906945846794,"Weights: 0.0, 0.0, 0.3, 0.15, 0.5499999999999999"
"[0.0, 0.0, 0.3, 0.2, 0.49999999999999994]",0.044913104594709104,0.5446435622935936,11.681302529137522,"Weights: 0.0, 0.0, 0.3, 0.2, 0.49999999999999994"
"[0.0, 0.0, 0.3, 0.25, 0.44999999999999996]",0.04483982549979324,0.5424275170942567,11.650971235306562,"Weights: 0.0, 0.0, 0.3, 0.25, 0.44999999999999996"
"[0.0, 0.0, 0.3, 0.3, 0.39999999999999997]",0.044838565949977885,0.54021147189492,11.601875770854724,"Weights: 0.0, 0.0, 0.3, 0.3, 0.39999999999999997"
"[0.0, 0.0, 0.3, 0.35, 0.35]",0.04490933200495308,0.5379954266955832,11.5342491987735,"Weights: 0.0, 0.0, 0.3, 0.35, 0.35"
"[0.0, 0.0, 0.3, 0.4, 0.29999999999999993]",0.04505178425871356,0.5357793814962465,11.44858943952899,"Weights: 0.0, 0.0, 0.3, 0.4, 0.29999999999999993"
"[0.0, 0.0, 0.3, 0.45, 0.24999999999999994]",0.04526524591492041,0.5335633362969097,11.34564334991557,"Weights: 0.0, 0.0, 0.3, 0.45, 0.24999999999999994"
"[0.0, 0.0, 0.3, 0.5, 0.19999999999999996]",0.045548718639109344,0.5313472910975728,11.22638147406668,"Weights: 0.0, 0.0, 0.3, 0.5, 0.19999999999999996"
